job title,company name,address,posed from,work type,job link
Data Engineer,Coformatique -,"Cairo, Egypt",.css-5wys0k{font-size:12px;font-weight:600;font-style:normal;letter-spacing:-0.27px;line-height:19px;color:#4D6182;},Hybrid,https://wuzzuf.net/jobs/p/qNomjSPCqDVm-Data-Engineer-Coformatique-Cairo-Egypt
Senior Data Engineer,Paymob Solutions -,"Maadi, Cairo, Egypt",16 days ago,Hybrid,https://wuzzuf.net/jobs/p/4Zf6wFHvvzze-Senior-Data-Engineer-Paymob-Solutions-Cairo-Egypt
Senior Data Engineer,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt",21 days ago,Hybrid,https://wuzzuf.net/jobs/p/4jhR3nrGkJFn-Senior-Data-Engineer-Nahdet-Misr-Publishing-Group-Giza-Egypt
Data Analyst Lead / Manager,WUZZUF -,"Maadi, Cairo, Egypt",.css-4c4ojb{font-size:12px;font-weight:400;font-style:normal;letter-spacing:-0.27px;line-height:19px;color:#2C9266;},Hybrid,https://wuzzuf.net/jobs/p/Z2oRrb24292t-Data-Analyst-Lead-Manager-WUZZUF-Cairo-Egypt
Senior Data Modeler (Banking Experience Required),BBI-Consultancy -,"Maadi, Cairo, Egypt",3 days ago,Hybrid,https://wuzzuf.net/jobs/p/oLYTmxxTsn8Y-Senior-Data-Modeler-Banking-Experience-Required-BBI-Consultancy-Cairo-Egypt
Data Center Design Leader,Mobi Egypt -,"Cairo, Egypt",6 days ago,On-site,https://wuzzuf.net/jobs/p/Z39qPIld9lfd-Data-Center-Design-Leader-Mobi-Egypt-Cairo-Egypt
Senior Network Engineers,Teleperformance - Egypt -,"Katameya, Cairo, Egypt",16 days ago,On-site,https://wuzzuf.net/jobs/p/mUvHhKOaJlfx-Senior-Network-Engineers-Teleperformance---Egypt-Cairo-Egypt
Big Data Engineer,Wakeb Data -,"Mohandessin, Giza, Egypt",1 month ago,On-site,https://wuzzuf.net/jobs/p/8aOt3G7Opz9E-Big-Data-Engineer-Wakeb-Data-Giza-Egypt
Analysis Engineer,SMD Industrial  -,"10th of Ramadan City, Sharqia, Egypt",17 days ago,On-site,https://wuzzuf.net/jobs/p/XDgPp57Ff47G-Analysis-Engineer-SMD-Industrial-Sharqia-Egypt
Electrical Maintenance Engineer,Confidential -,"Port Said, Egypt",14 days ago,On-site,https://wuzzuf.net/jobs/p/RugdCX3vNnQA-Electrical-Maintenance-Engineer-Port-Said-Egypt
Senior Data Center Engineer - Hyper Converged Implementation,IT Dynamics Integrated Solutions -,"New Cairo, Cairo, Egypt",1 month ago,On-site,https://wuzzuf.net/jobs/p/kzBzDPP5674S-Senior-Data-Center-Engineer---Hyper-Converged-Implementation-IT-Dynamics-Integrated-Solutions-Cairo-Egypt
Data Annotation Team Lead,Eg Insurtech -,"Cairo, Egypt",20 days ago,Hybrid,https://wuzzuf.net/jobs/p/A5qTdwlu96Gb-Data-Annotation-Team-Lead-Eg-Insurtech-Cairo-Egypt
Senior Data Analyst,Goldentex -,"10th of Ramadan City, Sharqia, Egypt",30 days ago,On-site,https://wuzzuf.net/jobs/p/pDuDzSwwSi9g-Senior-Data-Analyst-Goldentex-Sharqia-Egypt
"UPS, Power and Data Center Project Manager",Wadi Degla Trading  -,"Cairo, Egypt",30 days ago,On-site,https://wuzzuf.net/jobs/p/sfazpRScZjXF-UPS-Power-and-Data-Center-Project-Manager-Wadi-Degla-Trading-Cairo-Egypt
Data Engineer,USYTech -,"Heliopolis, Cairo, Egypt",2 months ago,Hybrid,https://wuzzuf.net/jobs/p/c4GwTC8YnyG7-Data-Engineer-USYTech-Cairo-Egypt
